color,sourceID,size,targetID,label
#69c719,客户关联关系,1,备注,has
#69c719,客户关联关系,1,创建人,has
#69c719,客户关联关系,1,创建时间,has
#69c719,客户关联关系,1,更新人,has
#69c719,客户关联关系,1,更新时间,has
#69c719,客户关联关系,1,关联关系描述,has
#69c719,客户关联关系,1,关联客户号,has
#69c719,客户关联关系,1,关联客户类型,has
#69c719,客户关联关系,1,关联客户序号,has
#69c719,客户关联关系,1,关系编号,has
#69c719,客户关联关系,1,关系类型,has
#69c719,客户关联关系,1,记录状态,has
#69c719,客户关联关系,1,截止日期,has
#69c719,客户关联关系,1,起始日期,has
#69c719,客户关联关系,1,数据来源,has
#69c719,客户基本信息,1,成立时间,has
#69c719,客户基本信息,1,创建机构,has
#69c719,客户基本信息,1,创建人,has
#69c719,客户基本信息,1,创建时间,has
#69c719,客户基本信息,1,打印语言,has
#69c719,客户基本信息,1,地址模式,has
#69c719,客户基本信息,1,法人代表,has
#69c719,客户基本信息,1,法人证件号码,has
#69c719,客户基本信息,1,法人证件种类,has
#69c719,客户基本信息,1,废止人,has
#69c719,客户基本信息,1,废止日期,has
#69c719,客户基本信息,1,废止原因,has
#69c719,客户基本信息,1,分配标志,has
#69c719,客户基本信息,1,更新机构,has
#69c719,客户基本信息,1,更新人,has
#69c719,客户基本信息,1,更新日期,has
#69c719,客户基本信息,1,关联客户标志,has
#69c719,客户基本信息,1,行业补充分类,has
#69c719,客户基本信息,1,核心交易状态,has
#69c719,客户基本信息,1,核心客户种类,has
#69c719,客户基本信息,1,核心状态,has
#69c719,客户基本信息,1,集团客户标志,has
#69c719,客户基本信息,1,金融机构类型,has
#69c719,客户基本信息,1,进出口权标志,has
#69c719,客户基本信息,1,经济性质,has
#69c719,客户基本信息,1,境内外标志,has
#69c719,客户基本信息,1,开行行业代码,has
#69c719,客户基本信息,1,开行特色行业,has
#69c719,客户基本信息,1,开户机构,has
#69c719,客户基本信息,1,开户日期,has
#69c719,客户基本信息,1,客户等级分类,has
#69c719,客户基本信息,1,客户分类,has
#69c719,客户基本信息,1,客户简称,has
